item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_5750_022500_022620.rttm,0.00,0.00,0.00,,0.00,
BER_5750_027060_027180.rttm,425.36,5.52,20.65,374.09,2.83,51.27
BER_5750_029340_029460.rttm,242.31,1.56,2.22,142.31,1.56,100.00
BER_5750_029760_029880.rttm,406.21,11.44,40.45,353.58,6.02,52.62
BER_5750_030120_030240.rttm,1913.45,3.42,63.23,1848.83,2.21,64.62
BER_5750_030420_030540.rttm,982.80,5.29,49.78,941.02,2.21,41.78
BER_5750_034560_034680.rttm,0.00,0.00,0.00,,0.00,
BER_5750_038520_038640.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039300_039420.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039840_039960.rttm,0.00,0.00,0.00,,0.00,
BER_5750_040800_040920.rttm,0.00,0.00,0.00,,0.00,
BER_6035_008160_008280.rttm,299.30,20.00,53.77,268.85,6.09,30.45
BER_6035_010680_010800.rttm,427.07,10.64,40.54,381.02,4.90,46.05
BER_6035_013920_014040.rttm,235.60,11.01,16.98,154.22,8.96,81.38
BER_6035_018600_018720.rttm,0.00,0.00,0.00,,0.00,
BER_6035_019380_019500.rttm,0.00,0.00,0.00,,0.00,
BER_6035_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_6035_022140_022260.rttm,0.00,0.00,0.00,,0.00,
BER_6035_026940_027060.rttm,458.82,9.69,42.44,437.98,2.02,20.85
BER_6035_027780_027900.rttm,653.64,5.22,30.19,578.35,3.93,75.29
BER_6035_030300_030420.rttm,589.20,10.00,51.64,516.40,7.28,72.80
BER_6035_030840_030960.rttm,1536.50,6.85,104.76,1529.34,0.49,7.15
BER_6035_037980_038100.rttm,0.00,0.00,0.00,,0.00,
BER_6035_041460_041580.rttm,0.00,0.00,0.00,,0.00,
BER_6035_045540_045660.rttm,0.00,0.00,0.00,,0.00,
BER_6035_049440_049560.rttm,0.00,0.00,0.00,,0.00,
BER_7758_003780_003900.rttm,2671.43,0.21,5.40,2571.43,0.21,100.00
BER_7758_004740_004860.rttm,1050.69,2.90,28.18,971.72,2.29,78.97
BER_7758_010440_010560.rttm,0.00,0.00,0.00,,0.00,
BER_7758_010740_010860.rttm,2846.38,2.76,77.96,2824.64,0.60,21.74
BER_7758_012180_012300.rttm,3226.79,2.80,89.85,3208.93,0.50,17.86
BER_7758_019140_019260.rttm,1839.05,1.05,18.26,1739.05,1.05,100.00
BER_7758_021540_021660.rttm,0.00,0.00,0.00,,0.00,
BER_7758_026700_026820.rttm,0.00,0.00,0.00,,0.00,
BER_7758_027600_027720.rttm,0.00,0.00,0.00,,0.00,
BER_7758_027960_028080.rttm,0.00,0.00,0.00,,0.00,
BER_7758_029940_030060.rttm,100.00,0.00,18.37,,0.00,
BER_7758_031380_031500.rttm,0.00,0.00,0.00,,0.00,
BER_7758_032520_032640.rttm,0.00,0.00,0.00,,0.00,
BER_7758_034260_034380.rttm,100.00,0.00,15.98,,0.00,
