item,detection precision %,retrieved,relevant retrieved
SOD_4483_006600_006720.rttm,69.96,34.69,24.27
SOD_4736_004440_004560.rttm,0.00,40.44,0.00
SOD_4736_005760_005880.rttm,0.00,52.37,0.00
SOD_4736_008940_009060.rttm,0.00,39.79,0.00
SOD_4736_009720_009840.rttm,0.00,35.80,0.00
SOD_4736_011220_011340.rttm,0.00,15.72,0.00
SOD_4736_013800_013920.rttm,14.37,17.67,2.54
SOD_4736_016920_017040.rttm,0.00,43.15,0.00
SOD_4736_018360_018480.rttm,0.00,76.30,0.00
SOD_4736_018780_018900.rttm,1.49,88.83,1.32
SOD_4736_020280_020400.rttm,0.00,69.34,0.00
SOD_4736_023580_023700.rttm,0.00,106.11,0.00
SOD_4736_025740_025860.rttm,100.00,0.00,0.00
SOD_4736_026460_026580.rttm,0.00,1.22,0.00
SOD_4736_029520_029640.rttm,0.00,51.35,0.00
SOD_4736_033120_033240.rttm,0.00,14.52,0.00
SOD_8445_006660_006780.rttm,16.95,6.49,1.10
SOD_8445_011700_011820.rttm,75.69,51.54,39.01
SOD_8445_012900_013020.rttm,69.12,90.00,62.21
SOD_8445_015660_015780.rttm,0.00,44.44,0.00
SOD_8445_017580_017700.rttm,87.18,35.17,30.66
SOD_8445_019980_020100.rttm,40.35,113.46,45.78
SOD_8445_021960_022080.rttm,91.61,66.40,60.83
SOD_8445_023880_024000.rttm,24.53,23.16,5.68
SOD_8445_027600_027720.rttm,50.22,64.06,32.17
SOD_8445_029040_029160.rttm,59.15,69.28,40.98
SOD_8445_038220_038340.rttm,37.91,91.27,34.60
SOD_8445_039000_039120.rttm,23.60,90.51,21.36
SOD_8445_044340_044460.rttm,83.45,107.91,90.05
SOD_8445_048120_048240.rttm,63.52,33.33,21.17
SOD_8445_049380_049500.rttm,43.90,54.05,23.73
SOD_8924_002400_002520.rttm,82.77,47.18,39.05
SOD_8924_006360_006480.rttm,78.25,62.76,49.11
SOD_8924_007140_007260.rttm,85.87,70.20,60.28
SOD_8924_012780_012900.rttm,19.90,119.20,23.72
SOD_8924_013560_013680.rttm,0.00,115.36,0.00
SOD_8924_014820_014940.rttm,31.97,99.62,31.85
SOD_8924_015720_015840.rttm,0.00,1.04,0.00
SOD_8924_017160_017280.rttm,96.81,61.82,59.85
SOD_8924_017340_017460.rttm,95.71,72.05,68.96
SOD_8924_018240_018360.rttm,86.35,55.66,48.06
SOD_8924_018720_018840.rttm,38.28,49.06,18.78
SOD_8924_019500_019620.rttm,56.47,71.14,40.17
SOD_8924_023400_023520.rttm,51.05,40.37,20.61
SOD_8924_024480_024600.rttm,49.27,59.45,29.29
SOD_8924_028020_028140.rttm,79.51,62.47,49.67
