item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_3749_043560_043680.rttm,100.00,0.00,1.00,,0.00,
BER_3895_003780_003900.rttm,0.00,0.00,0.00,,0.00,
BER_3895_006120_006240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_009300_009420.rttm,0.00,0.00,0.00,,0.00,
BER_3895_012180_012300.rttm,0.00,0.00,0.00,,0.00,
BER_3895_013020_013140.rttm,0.00,0.00,0.00,,0.00,
BER_3895_013440_013560.rttm,0.00,0.00,0.00,,0.00,
BER_3895_014940_015060.rttm,0.00,0.00,0.00,,0.00,
BER_3895_021660_021780.rttm,100.00,0.00,8.73,,0.00,
BER_3895_027120_027240.rttm,100.00,0.00,2.52,,0.00,
BER_3895_030120_030240.rttm,0.00,0.00,0.00,,0.00,
BER_3895_030480_030600.rttm,0.00,0.00,0.00,,0.00,
BER_3895_033060_033180.rttm,0.00,0.00,0.00,,0.00,
BER_3895_037560_037680.rttm,0.00,0.00,0.00,,0.00,
BER_3895_043560_043680.rttm,82.48,15.34,4.34,28.26,8.32,54.22
BER_3895_047220_047340.rttm,100.00,0.00,12.29,,0.00,
BER_5750_004860_004980.rttm,0.00,0.00,0.00,,0.00,
BER_5750_006420_006540.rttm,90.04,9.34,1.22,13.12,7.18,76.93
BER_5750_008100_008220.rttm,100.00,0.00,6.59,,0.00,
BER_5750_010560_010680.rttm,100.00,0.00,3.02,,0.00,
BER_5750_022500_022620.rttm,0.00,0.00,0.00,,0.00,
BER_5750_027060_027180.rttm,0.00,0.00,0.00,,0.00,
BER_5750_029340_029460.rttm,0.00,0.00,0.00,,0.00,
BER_5750_029760_029880.rttm,0.00,0.00,0.00,,0.00,
BER_5750_030120_030240.rttm,0.00,0.00,0.00,,0.00,
BER_5750_030420_030540.rttm,0.00,0.00,0.00,,0.00,
BER_5750_034560_034680.rttm,0.00,0.00,0.00,,0.00,
BER_5750_038520_038640.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039300_039420.rttm,0.00,0.00,0.00,,0.00,
BER_5750_039840_039960.rttm,0.00,0.00,0.00,,0.00,
BER_5750_040800_040920.rttm,0.00,0.00,0.00,,0.00,
BER_6035_008160_008280.rttm,104.63,15.21,6.17,40.58,9.74,64.05
BER_6035_010680_010800.rttm,66.54,12.22,0.63,5.12,7.50,61.42
BER_6035_013920_014040.rttm,1445.45,3.29,46.55,1415.35,0.99,30.10
BER_6035_018600_018720.rttm,0.00,0.00,0.00,,0.00,
BER_6035_019380_019500.rttm,0.00,0.00,0.00,,0.00,
BER_6035_021240_021360.rttm,0.00,0.00,0.00,,0.00,
BER_6035_022140_022260.rttm,0.00,0.00,0.00,,0.00,
BER_6035_026940_027060.rttm,70.72,14.60,3.67,25.13,6.66,45.60
BER_6035_027780_027900.rttm,108.74,12.70,4.55,35.88,9.25,72.87
BER_6035_030300_030420.rttm,124.91,10.20,2.54,24.91,10.20,100.00
BER_6035_030840_030960.rttm,100.00,10.11,0.00,0.00,10.11,100.00
BER_6035_037980_038100.rttm,0.00,0.00,0.00,,0.00,
BER_6035_041460_041580.rttm,0.00,0.00,0.00,,0.00,
BER_6035_045540_045660.rttm,0.00,0.00,0.00,,0.00,
BER_6035_049440_049560.rttm,0.00,0.00,0.00,,0.00,
BER_7758_003780_003900.rttm,0.00,0.00,0.00,,0.00,
BER_7758_004740_004860.rttm,100.00,0.00,2.00,,0.00,
BER_7758_010440_010560.rttm,0.00,0.00,0.00,,0.00,
BER_7758_010740_010860.rttm,0.00,0.00,0.00,,0.00,
BER_7758_012180_012300.rttm,0.00,0.00,0.00,,0.00,
BER_7758_019140_019260.rttm,100.00,0.00,20.26,,0.00,
BER_7758_021540_021660.rttm,0.00,0.00,0.00,,0.00,
BER_7758_026700_026820.rttm,0.00,0.00,0.00,,0.00,
BER_7758_027600_027720.rttm,0.00,0.00,0.00,,0.00,
BER_7758_027960_028080.rttm,0.00,0.00,0.00,,0.00,
BER_7758_029940_030060.rttm,0.00,0.00,0.00,,0.00,
BER_7758_031380_031500.rttm,0.00,0.00,0.00,,0.00,
BER_7758_032520_032640.rttm,0.00,0.00,0.00,,0.00,
BER_7758_034260_034380.rttm,0.00,0.00,0.00,,0.00,
BER_7758_038460_038580.rttm,98.34,6.03,1.16,19.22,4.77,79.12
C01_20170706_12840.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_16440.rttm,100.00,2.70,0.00,0.00,2.70,100.00
C01_20170706_20040.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_2040.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_23640.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_27240.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_30840.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_34440.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_38040.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_41640.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_45240.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_48840.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_52440.rttm,79.52,7.35,1.40,19.09,4.44,60.43
C01_20170706_56040.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_5640.rttm,100.00,1.12,0.00,0.00,1.12,100.00
C01_20170706_9240.rttm,100.00,0.00,2.77,,0.00,
C01_20170718_12840.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_16440.rttm,90.65,6.18,0.37,5.93,5.23,84.72
C01_20170718_20040.rttm,100.00,0.00,1.00,,0.00,
C01_20170718_2040.rttm,70.16,7.04,0.35,5.04,4.58,65.12
C01_20170718_23640.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_27240.rttm,100.00,2.70,0.00,0.00,2.70,100.00
C01_20170718_30840.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_34440.rttm,75.20,6.05,0.00,0.00,4.55,75.20
C01_20170718_38040.rttm,100.00,0.00,0.58,,0.00,
C01_20170718_41640.rttm,100.00,10.42,0.00,0.00,10.42,100.00
C01_20170718_45240.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_48840.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_52440.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_56040.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_5640.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_9240.rttm,47.61,1.87,0.51,27.35,0.38,20.26
C04_20170707_12840.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_16440.rttm,81.52,30.25,0.00,0.00,24.66,81.52
C04_20170707_20040.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_2040.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_23640.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_27240.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_30840.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_34440.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_38040.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_41640.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_45240.rttm,100.00,2.52,0.00,0.00,2.52,100.00
C04_20170707_48840.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_52440.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_56040.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_5640.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_9240.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_12840.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_16440.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_20040.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_2040.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_23640.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_27240.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_30840.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_34440.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_38040.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_41640.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_45240.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_48840.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_52440.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_56040.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_5640.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_9240.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_12840.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_16440.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_20040.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_2040.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_23640.rttm,141.75,8.81,4.32,49.01,8.17,92.73
C10_20170709_27240.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_30840.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_34440.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_38040.rttm,100.00,0.00,1.07,,0.00,
C10_20170709_41640.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_45240.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_48840.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_52440.rttm,100.00,6.75,0.00,0.00,6.75,100.00
C10_20170709_56040.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_5640.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_9240.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_12840.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_16440.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_20040.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_2040.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_23640.rttm,58.62,10.95,0.71,6.48,5.71,52.14
C11_20170709_27240.rttm,84.74,25.30,1.25,4.96,20.19,79.78
C11_20170709_30840.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_34440.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_38040.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_41640.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_45240.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_48840.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_52440.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_56040.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_5640.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_9240.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_12840.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_16440.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_20040.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_2040.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_23640.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_27240.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_30840.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_34440.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_38040.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_41640.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_45240.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_48840.rttm,100.00,0.45,0.00,0.00,0.45,100.00
C11_20170718_52440.rttm,112.77,10.34,2.38,23.02,9.28,89.75
C11_20170718_56040.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_5640.rttm,100.00,8.19,0.00,0.00,8.19,100.00
C11_20170718_9240.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_12840.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_16440.rttm,100.00,0.77,0.00,0.00,0.77,100.00
C12_20170709_20040.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_2040.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_23640.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_27240.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_30840.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_34440.rttm,100.33,3.98,0.53,13.22,3.47,87.10
C12_20170709_38040.rttm,589.07,0.62,3.02,489.07,0.62,100.00
C12_20170709_41640.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_45240.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_48840.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_52440.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_56040.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_5640.rttm,100.00,0.00,0.60,,0.00,
C12_20170709_9240.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_12840.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_16440.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_20040.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_2040.rttm,100.00,0.00,1.04,,0.00,
C15_20170710_23640.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_27240.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_30840.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_34440.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_38040.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_41640.rttm,0.00,0.00,0.00,,0.00,
