item,identification error rate %,total,correct,correct %,false alarm,false alarm %,missed detection,missed detection %,confusion,confusion %
ROW_9801_021720_021840.rttm,126.89,43.06,15.60,36.24,27.18,63.13,20.89,48.51,6.57,15.25
ROW_9801_026580_026700.rttm,100.00,0.00,0.00,,1.00,,0.00,,0.00,
ROW_9801_028740_028860.rttm,85.42,93.92,29.30,31.20,15.61,16.62,28.95,30.83,35.66,37.97
ROW_9801_035400_035520.rttm,84.61,85.71,26.70,31.15,13.51,15.76,18.41,21.48,40.60,47.37
ROW_9801_036900_037020.rttm,152.16,58.29,26.63,45.68,57.03,97.84,0.40,0.69,31.26,53.63
ROW_9801_043620_043740.rttm,102.17,67.24,6.05,8.99,7.50,11.16,2.05,3.05,59.14,87.95
ROW_9801_055020_055140.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
ROW_9801_056040_056160.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_1499_006120_006240.rttm,97.19,63.46,21.53,33.92,19.74,31.11,13.72,21.62,28.22,44.46
SOD_1499_007500_007620.rttm,161.05,59.47,13.24,22.27,49.54,83.32,0.38,0.64,45.84,77.09
SOD_1499_008580_008700.rttm,140.48,34.83,10.28,29.53,24.38,70.01,6.08,17.46,18.46,53.01
SOD_1499_010980_011100.rttm,61.95,100.55,48.47,48.21,10.22,10.16,6.69,6.66,45.38,45.13
SOD_1499_012720_012840.rttm,103.07,51.63,7.97,15.43,9.55,18.50,2.24,4.34,41.42,80.23
SOD_1499_015420_015540.rttm,187.77,2.00,0.00,0.00,1.76,87.77,0.73,36.58,1.27,63.42
SOD_1499_016260_016380.rttm,121.43,0.14,0.00,0.00,0.03,21.43,0.00,0.00,0.14,100.00
SOD_1499_017340_017460.rttm,111.84,51.03,0.12,0.24,6.16,12.07,9.85,19.31,41.06,80.45
SOD_1499_017820_017940.rttm,105.14,46.14,4.11,8.92,6.49,14.06,9.01,19.53,33.02,71.56
SOD_1499_020040_020160.rttm,357.02,30.87,1.35,4.37,80.69,261.40,0.00,0.00,29.52,95.63
SOD_1499_021660_021780.rttm,85.64,73.06,21.23,29.06,10.74,14.70,14.86,20.34,36.97,50.60
SOD_1499_023040_023160.rttm,123.60,68.43,26.90,39.31,43.05,62.91,0.48,0.70,41.05,59.99
SOD_1499_024300_024420.rttm,138.90,70.77,14.58,20.61,42.11,59.51,4.62,6.53,51.56,72.86
SOD_1499_025740_025860.rttm,99.82,92.03,23.07,25.07,22.90,24.89,7.01,7.61,61.96,67.32
SOD_1499_027540_027660.rttm,162.36,62.62,7.07,11.29,46.12,73.65,12.71,20.30,42.84,68.41
SOD_3542_003120_003240.rttm,77.99,88.42,23.61,26.70,4.15,4.69,20.19,22.83,44.62,50.46
SOD_3542_003900_004020.rttm,97.53,36.65,9.54,26.03,8.63,23.56,15.25,41.61,11.86,32.36
SOD_3542_004920_005040.rttm,65.54,86.82,42.22,48.63,12.30,14.17,11.82,13.62,32.77,37.75
SOD_3542_005220_005340.rttm,78.86,78.44,25.93,33.06,9.35,11.92,22.47,28.64,30.05,38.30
SOD_3542_006060_006180.rttm,91.06,78.73,20.14,25.58,13.10,16.63,23.82,30.26,34.77,44.16
SOD_3542_006360_006480.rttm,69.91,103.52,45.94,44.38,14.80,14.29,1.45,1.40,56.13,54.22
SOD_3542_010080_010200.rttm,98.41,88.05,2.34,2.65,0.94,1.06,83.76,95.13,1.95,2.21
SOD_3542_010500_010620.rttm,102.52,77.43,7.23,9.33,9.17,11.85,47.76,61.69,22.44,28.98
SOD_3542_011580_011700.rttm,91.40,95.96,17.46,18.19,9.21,9.60,45.40,47.32,33.09,34.49
SOD_3542_015540_015660.rttm,101.66,102.59,4.43,4.32,6.13,5.98,51.37,50.08,46.79,45.61
SOD_3542_017220_017340.rttm,173.17,27.02,1.00,3.70,20.77,76.87,11.26,41.66,14.77,54.64
SOD_3542_018180_018300.rttm,69.39,76.68,46.58,60.75,23.11,30.14,5.06,6.60,25.03,32.65
SOD_3542_019020_019140.rttm,169.09,18.63,13.53,72.64,26.40,141.73,1.95,10.45,3.15,16.91
SOD_3542_020700_020820.rttm,179.54,41.94,12.79,30.49,46.15,110.03,6.96,16.59,22.19,52.91
SOD_3542_021480_021600.rttm,192.74,5.73,0.00,0.00,5.32,92.74,2.56,44.63,3.17,55.37
SOD_3634_004260_004380.rttm,3186.50,1.55,0.00,0.00,47.99,3086.50,0.00,0.00,1.55,100.00
