item,detection precision %,retrieved,relevant retrieved
ROW_3486_049500_049620.rttm,100.00,0.00,0.00
ROW_3486_050040_050160.rttm,100.00,0.00,0.00
ROW_3486_050400_050520.rttm,100.00,0.00,0.00
ROW_3486_050940_051060.rttm,100.00,0.00,0.00
ROW_3486_051300_051420.rttm,100.00,0.00,0.00
ROW_7798_009660_009780.rttm,76.88,12.37,9.51
ROW_7798_012420_012540.rttm,100.00,0.00,0.00
ROW_7798_013800_013920.rttm,100.00,0.00,0.00
ROW_7798_014400_014520.rttm,100.00,0.00,0.00
ROW_7798_017580_017700.rttm,75.72,5.19,3.93
ROW_7798_017880_018000.rttm,89.88,47.54,42.73
ROW_7798_019560_019680.rttm,75.09,39.22,29.45
ROW_7798_030780_030900.rttm,90.18,67.34,60.73
ROW_7798_033240_033360.rttm,86.18,79.08,68.15
ROW_7798_037020_037140.rttm,100.00,0.00,0.00
ROW_7798_040380_040500.rttm,88.85,11.12,9.88
ROW_7798_044580_044700.rttm,75.62,48.08,36.36
ROW_7798_050580_050700.rttm,80.77,23.24,18.77
ROW_7798_051420_051540.rttm,100.00,0.00,0.00
ROW_7798_056220_056340.rttm,100.00,0.00,0.00
ROW_8357_002820_002940.rttm,72.15,11.49,8.29
ROW_8357_006900_007020.rttm,88.71,53.59,47.54
ROW_8357_007620_007740.rttm,73.19,44.20,32.35
ROW_8357_012660_012780.rttm,76.59,41.31,31.64
ROW_8357_019560_019680.rttm,91.43,13.18,12.05
ROW_8357_020220_020340.rttm,91.41,15.01,13.72
ROW_8357_021540_021660.rttm,86.42,18.71,16.17
ROW_8357_027960_028080.rttm,57.56,14.94,8.60
ROW_8357_030300_030420.rttm,80.46,15.20,12.23
ROW_8357_041400_041520.rttm,85.06,78.39,66.68
ROW_8357_042720_042840.rttm,91.97,24.15,22.21
ROW_8357_053160_053280.rttm,100.00,0.00,0.00
ROW_8357_053280_053400.rttm,100.00,0.00,0.00
ROW_8357_055860_055980.rttm,100.00,0.00,0.00
ROW_8357_057000_057120.rttm,100.00,0.00,0.00
ROW_9408_003780_003900.rttm,87.42,12.00,10.49
ROW_9408_004800_004920.rttm,81.59,16.02,13.07
ROW_9408_008820_008940.rttm,89.79,16.26,14.60
ROW_9408_014880_015000.rttm,84.97,25.89,22.00
ROW_9408_018540_018660.rttm,100.00,0.00,0.00
ROW_9408_019380_019500.rttm,66.46,6.41,4.26
ROW_9408_026100_026220.rttm,83.00,1.00,0.83
ROW_9408_033360_033480.rttm,83.70,34.53,28.90
ROW_9408_035580_035700.rttm,100.00,0.00,0.00
ROW_9408_036300_036420.rttm,100.00,0.00,0.00
ROW_9408_037500_037620.rttm,100.00,0.00,0.00
ROW_9408_039540_039660.rttm,100.00,0.00,0.00
ROW_9408_042120_042240.rttm,100.00,0.00,0.00
ROW_9408_043080_043200.rttm,100.00,0.00,0.00
ROW_9408_046140_046260.rttm,100.00,0.00,0.00
ROW_9492_003780_003900.rttm,68.98,59.18,40.82
ROW_9492_004560_004680.rttm,83.05,69.26,57.52
ROW_9492_006180_006300.rttm,84.77,55.63,47.16
ROW_9492_007020_007140.rttm,0.00,9.27,0.00
ROW_9492_007380_007500.rttm,100.00,2.17,2.17
ROW_9492_011100_011220.rttm,81.49,20.20,16.46
ROW_9492_011340_011460.rttm,91.26,58.15,53.07
ROW_9492_015240_015360.rttm,91.02,2.45,2.23
ROW_9492_026220_026340.rttm,6.52,1.84,0.12
ROW_9492_027960_028080.rttm,78.30,24.38,19.09
ROW_9492_037200_037320.rttm,100.00,0.68,0.68
ROW_9492_044280_044400.rttm,100.00,0.00,0.00
ROW_9492_046020_046140.rttm,100.00,0.00,0.00
ROW_9492_047820_047940.rttm,100.00,0.00,0.00
ROW_9492_048180_048300.rttm,81.21,8.57,6.96
ROW_9801_002100_002220.rttm,82.07,62.18,51.03
ROW_9801_007440_007560.rttm,0.00,2.00,0.00
ROW_9801_008820_008940.rttm,90.65,48.12,43.62
ROW_9801_011340_011460.rttm,98.69,11.44,11.29
ROW_9801_012840_012960.rttm,97.40,33.41,32.54
ROW_9801_014760_014880.rttm,60.67,4.78,2.90
ROW_9801_019260_019380.rttm,91.06,56.61,51.55
ROW_9801_021720_021840.rttm,75.18,12.77,9.60
ROW_9801_026580_026700.rttm,100.00,0.00,0.00
ROW_9801_028740_028860.rttm,85.11,42.03,35.77
ROW_9801_035400_035520.rttm,86.20,23.47,20.23
ROW_9801_036900_037020.rttm,90.55,32.69,29.60
ROW_9801_043620_043740.rttm,89.57,71.88,64.38
ROW_9801_055020_055140.rttm,100.00,0.00,0.00
ROW_9801_056040_056160.rttm,100.00,0.00,0.00
SOD_1499_006120_006240.rttm,67.45,51.52,34.75
SOD_1499_007500_007620.rttm,88.10,15.80,13.92
SOD_1499_008580_008700.rttm,55.91,34.45,19.26
SOD_1499_010980_011100.rttm,92.11,49.70,45.78
SOD_1499_012720_012840.rttm,84.63,57.84,48.95
SOD_1499_015420_015540.rttm,41.91,3.03,1.27
SOD_1499_016260_016380.rttm,82.35,0.17,0.14
SOD_1499_017340_017460.rttm,88.09,46.26,40.75
SOD_1499_017820_017940.rttm,87.82,39.15,34.38
SOD_1499_020040_020160.rttm,93.10,1.45,1.35
