item,detection error rate %,total,false alarm,false alarm %,miss,miss %
C11_20170709_5640.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_9240.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_12840.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_16440.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_20040.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_2040.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_23640.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_27240.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_30840.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_34440.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_38040.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_41640.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_45240.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_48840.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_52440.rttm,100.00,0.00,3.44,,0.00,
C11_20170718_56040.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_5640.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_9240.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_12840.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_16440.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_20040.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_2040.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_23640.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_27240.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_30840.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_34440.rttm,100.00,0.00,1.04,,0.00,
C12_20170709_38040.rttm,100.00,0.00,3.02,,0.00,
C12_20170709_41640.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_45240.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_48840.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_52440.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_56040.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_5640.rttm,100.00,0.00,0.60,,0.00,
C12_20170709_9240.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_12840.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_16440.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_20040.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_2040.rttm,100.00,0.00,1.04,,0.00,
C15_20170710_23640.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_27240.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_30840.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_34440.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_38040.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_41640.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_45240.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_48840.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_52440.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_56040.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_5640.rttm,100.00,0.00,1.69,,0.00,
C15_20170710_9240.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_12840.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_16440.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_20040.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_2040.rttm,100.00,0.00,0.93,,0.00,
C16_20170710_23640.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_27240.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_30840.rttm,100.00,0.00,2.83,,0.00,
C16_20170710_34440.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_38040.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_41640.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_45240.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_48840.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_52440.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_56040.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_5640.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_9240.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_12840.rttm,100.00,0.00,3.06,,0.00,
C18_20170711_16440.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_20040.rttm,100.00,0.00,6.66,,0.00,
C18_20170711_2040.rttm,100.00,0.00,4.54,,0.00,
C18_20170711_23640.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_27240.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_30840.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_34440.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_38040.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_41640.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_45240.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_48840.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_52440.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_56040.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_5640.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_9240.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_12840.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_16440.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_20040.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_2040.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_23640.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_27240.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_30840.rttm,100.00,0.00,0.60,,0.00,
C18_20170718_34440.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_38040.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_41640.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_45240.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_48840.rttm,100.00,0.00,3.21,,0.00,
C18_20170718_52440.rttm,100.00,0.00,16.25,,0.00,
C18_20170718_56040.rttm,100.00,0.00,1.00,,0.00,
C18_20170718_5640.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_9240.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_12840.rttm,100.00,0.00,1.52,,0.00,
C20_20170711_16440.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_20040.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_2040.rttm,100.00,0.00,1.38,,0.00,
C20_20170711_23640.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_27240.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_30840.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_34440.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_38040.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_41640.rttm,100.00,0.00,1.01,,0.00,
C20_20170711_45240.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_48840.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_52440.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_56040.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_5640.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_9240.rttm,100.00,0.00,9.49,,0.00,
C22_20170717_12840.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_16440.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_20040.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_2040.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_23640.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_27240.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_30840.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_34440.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_38040.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_41640.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_45240.rttm,100.00,0.00,1.30,,0.00,
C22_20170717_48840.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_52440.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_56040.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_5640.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_9240.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_12840.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_16440.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_20040.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_2040.rttm,100.00,0.00,0.32,,0.00,
C24_20170712_23640.rttm,100.00,0.00,13.09,,0.00,
C24_20170712_27240.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_30840.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_34440.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_38040.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_41640.rttm,100.00,0.00,17.07,,0.00,
C24_20170712_45240.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_48840.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_52440.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_56040.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_5640.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_9240.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_12840.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_16440.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_20040.rttm,100.00,0.00,6.17,,0.00,
C24_20170719_2040.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_23640.rttm,100.00,0.00,1.00,,0.00,
C24_20170719_27240.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_30840.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_34440.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_38040.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_41640.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_45240.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_48840.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_52440.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_56040.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_5640.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_9240.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_12840.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_16440.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_20040.rttm,100.00,0.00,1.00,,0.00,
C25_20170719_2040.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_23640.rttm,100.00,0.00,1.00,,0.00,
C25_20170719_27240.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_30840.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_34440.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_38040.rttm,100.00,0.00,1.00,,0.00,
C25_20170719_41640.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_45240.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_48840.rttm,0.00,0.00,0.00,,0.00,
