item,detection error rate %,total,false alarm,false alarm %,miss,miss %
WAR_3528_012000_012120.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_015360_015480.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_018480_018600.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_023100_023220.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_028920_029040.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_030600_030720.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_045720_045840.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_047940_048060.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_049920_050040.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_050400_050520.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_054960_055080.rttm,0.00,0.00,0.00,,0.00,
WAR_3528_056340_056460.rttm,0.00,0.00,0.00,,0.00,
WAR_4995_002820_002940.rttm,395.64,3.55,11.08,311.67,2.98,83.97
WAR_4995_005100_005220.rttm,100.00,0.00,1.15,,0.00,
WAR_4995_007080_007200.rttm,143.13,4.78,2.48,51.89,4.36,91.24
WAR_4995_007440_007560.rttm,777.42,0.99,6.72,677.42,0.99,100.00
WAR_4995_012660_012780.rttm,0.00,0.00,0.00,,0.00,
WAR_4995_017580_017700.rttm,5800.00,0.06,3.47,5791.67,0.00,8.33
WAR_4995_019500_019620.rttm,966.81,1.39,12.26,882.65,1.17,84.16
WAR_4995_020340_020460.rttm,100.00,0.00,6.28,,0.00,
WAR_4995_023160_023280.rttm,100.00,0.00,14.71,,0.00,
WAR_4995_026280_026400.rttm,100.00,0.00,2.40,,0.00,
WAR_4995_026700_026820.rttm,1398.97,1.76,22.81,1298.97,1.76,100.00
WAR_4995_027300_027420.rttm,0.00,0.00,0.00,,0.00,
WAR_4995_029760_029880.rttm,0.00,0.00,0.00,,0.00,
WAR_4995_032760_032880.rttm,0.00,0.00,0.00,,0.00,
WAR_4995_033120_033240.rttm,100.00,0.00,5.80,,0.00,
WAR_5613_007800_007920.rttm,100.00,9.72,0.00,0.00,9.72,100.00
WAR_5613_015240_015360.rttm,9914.29,0.07,6.87,9814.29,0.07,100.00
WAR_5613_017820_017940.rttm,107.32,8.19,0.60,7.32,8.19,100.00
WAR_5613_020040_020160.rttm,174.16,7.40,5.74,77.54,7.15,96.62
WAR_5613_028560_028680.rttm,664.74,5.51,34.14,619.94,2.47,44.80
WAR_5613_029700_029820.rttm,100.00,0.96,0.00,0.00,0.96,100.00
WAR_5613_030540_030660.rttm,444.50,5.89,22.07,374.86,4.10,69.63
WAR_5613_031980_032100.rttm,0.00,0.00,0.00,,0.00,
WAR_5613_033000_033120.rttm,1387.29,4.37,57.27,1311.38,3.32,75.91
WAR_5613_034620_034740.rttm,78.91,51.02,13.23,25.94,27.02,52.97
WAR_5613_038820_038940.rttm,84.86,23.38,7.25,31.01,12.59,53.84
WAR_5613_044400_044520.rttm,100.00,18.17,0.00,0.00,18.17,100.00
WAR_5613_053760_053880.rttm,118.75,33.98,22.63,66.59,17.72,52.15
WAR_5613_056520_056640.rttm,0.00,0.00,0.00,,0.00,
WAR_5613_057240_057360.rttm,100.00,0.00,1.61,,0.00,
WAR_5959_003960_004080.rttm,588.59,1.84,10.15,551.63,0.68,36.96
WAR_5959_004920_005040.rttm,100.00,0.00,1.42,,0.00,
WAR_5959_008520_008640.rttm,0.00,0.00,0.00,,0.00,
WAR_5959_012240_012360.rttm,620.39,3.25,18.54,570.26,1.63,50.14
WAR_5959_012840_012960.rttm,485.74,3.55,14.17,399.41,3.06,86.33
WAR_5959_018300_018420.rttm,137.79,3.07,1.54,50.00,2.69,87.79
WAR_5959_021960_022080.rttm,633.33,0.57,3.04,533.33,0.57,100.00
WAR_5959_022920_023040.rttm,100.00,25.46,0.00,0.00,25.46,100.00
WAR_5959_025800_025920.rttm,967.96,2.68,24.07,897.80,1.88,70.16
WAR_5959_037560_037680.rttm,163.98,33.43,47.50,142.09,7.32,21.89
WAR_5959_039300_039420.rttm,0.00,0.00,0.00,,0.00,
WAR_5959_041940_042060.rttm,0.00,0.00,0.00,,0.00,
WAR_5959_042300_042420.rttm,0.00,0.00,0.00,,0.00,
WAR_5959_051900_052020.rttm,0.00,0.00,0.00,,0.00,
WAR_5959_055800_055920.rttm,0.00,0.00,0.00,,0.00,
WAR_9398_003180_003300.rttm,309.30,0.43,0.90,209.30,0.43,100.00
WAR_9398_005100_005220.rttm,0.00,0.00,0.00,,0.00,
WAR_9398_006000_006120.rttm,0.00,0.00,0.00,,0.00,
WAR_9398_007680_007800.rttm,252.71,2.30,3.52,152.71,2.30,100.00
WAR_9398_009300_009420.rttm,100.00,0.00,1.61,,0.00,
WAR_9398_011640_011760.rttm,0.00,0.00,0.00,,0.00,
WAR_9398_012540_012660.rttm,0.00,0.00,0.00,,0.00,
WAR_9398_013500_013620.rttm,0.00,0.00,0.00,,0.00,
WAR_9398_018660_018780.rttm,537.44,3.28,14.37,437.44,3.28,100.00
WAR_9398_019500_019620.rttm,0.00,0.00,0.00,,0.00,
WAR_9398_022920_023040.rttm,0.00,0.00,0.00,,0.00,
WAR_9398_026700_026820.rttm,95.83,0.48,0.46,95.83,0.00,0.00
WAR_9398_027600_027720.rttm,5158.82,0.02,0.86,5058.82,0.02,100.00
WAR_9398_033780_033900.rttm,1418.07,0.66,9.16,1378.92,0.26,39.16
WAR_9398_034140_034260.rttm,394.53,3.27,9.64,294.53,3.27,100.00
WAR_9427_004380_004500.rttm,856.41,0.39,2.95,756.41,0.39,100.00
WAR_9427_008940_009060.rttm,0.00,0.00,0.00,,0.00,
WAR_9427_009960_010080.rttm,0.00,0.00,0.00,,0.00,
WAR_9427_017880_018000.rttm,100.00,0.00,7.47,,0.00,
WAR_9427_018240_018360.rttm,3252.07,1.06,34.56,3248.03,0.04,4.04
WAR_9427_021000_021120.rttm,100.00,0.00,10.27,,0.00,
WAR_9427_022800_022920.rttm,245.06,19.21,32.44,168.90,14.63,76.17
WAR_9427_033300_033420.rttm,1106.30,6.41,65.31,1018.91,5.60,87.39
WAR_9427_043260_043380.rttm,26362.50,0.08,21.09,26362.50,0.00,0.00
