filename gold_CV_cum_dur gold_CV_mean gold_CV_count gold_short_CV_count gold_CNV_cum_dur gold_CNV_mean gold_CNV_count gold_short_CNV_count gold_CH_cum_dur gold_CH_mean gold_CH_count gold_CTC_count gold_CTC_count_all lena_CH_count lena_CV_count lena_CNV_count lena_short_CV_count lena_short_CNV_count lena_CH_mean lena_CV_mean lena_CNV_mean lena_CH_cum_dur lena_CV_cum_dur lena_CNV_cum_dur lena_CTC_count child_id
BER_1618_009000_009120 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_013200_013320 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_017400_017520 13.616 0.756 18 10 11.889 1.698 7 0 25.505 1.020 25 1 3 14 3 12 0 4 1.315 0.870 1.168 18.41 2.61 14.02 1 BER_1618
BER_1618_023520_023640 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_023820_023940 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_024180_024300 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_031620_031740 8.287 0.753 11 4 0.000 0.000 0 0 8.287 0.753 11 7 7 6 2 4 0 1 0.933 0.725 0.768 5.60 1.45 3.07 1 BER_1618
BER_1618_041040_041160 26.542 1.062 25 4 0.000 0.000 0 0 26.542 1.062 25 33 0 7 1 6 1 2 0.720 0.600 0.740 5.04 0.60 4.44 1 BER_1618
BER_1618_043620_043740 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_047700_047820 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_050520_050640 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_051240_051360 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1618_053820_053940 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1618
BER_1844_002580_002700 2.310 1.155 2 1 0.000 0.000 0 0 2.310 1.155 2 2 0 1 0 1 0 0 0.660 0.000 0.660 0.66 0.00 0.66 0 BER_1844
BER_1844_009060_009180 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1844
BER_1844_010560_010680 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1844
BER_1844_012120_012240 11.065 1.107 10 0 0.000 0.000 0 0 11.065 1.107 10 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1844
BER_1844_013200_013320 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1844
BER_1844_013740_013860 6.146 1.229 5 1 1.092 0.546 2 2 7.238 1.034 7 5 5 1 1 0 0 0 1.000 1.000 0.000 1.00 1.00 0.00 1 BER_1844
BER_1844_018120_018240 5.735 1.912 3 0 6.561 3.280 2 0 12.296 2.459 5 6 10 5 1 4 0 0 1.000 0.850 0.868 5.00 0.85 3.47 0 BER_1844
BER_1844_018960_019080 1.050 1.050 1 0 0.000 0.000 0 0 1.050 1.050 1 0 0 1 0 1 0 0 0.600 0.000 0.600 0.60 0.00 0.60 0 BER_1844
BER_1844_020340_020460 6.620 2.207 3 0 6.960 6.960 1 0 13.580 3.395 4 3 3 5 3 2 0 0 0.816 0.943 0.855 4.08 2.83 1.71 0 BER_1844
BER_1844_028320_028440 5.587 1.397 4 2 0.000 0.000 0 0 5.587 1.397 4 2 2 3 0 3 0 2 1.113 0.000 0.680 3.34 0.00 2.04 0 BER_1844
BER_1844_029940_030060 4.498 1.125 4 1 3.317 3.317 1 0 7.815 1.563 5 5 6 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1844
BER_1844_030660_030780 1.998 0.666 3 1 0.000 0.000 0 0 1.998 0.666 3 1 1 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1844
BER_1844_031620_031740 9.952 1.659 6 0 39.361 4.373 9 0 49.313 3.288 15 5 23 4 4 0 0 0 0.770 0.770 0.000 3.08 3.08 0.00 1 BER_1844
BER_1844_034080_034200 0.930 0.930 1 0 0.000 0.000 0 0 0.930 0.930 1 2 2 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_1844
BER_1844_041880_042000 20.896 1.493 14 0 0.000 0.000 0 0 20.896 1.493 14 18 18 6 5 1 3 0 0.772 0.618 0.610 4.63 3.09 0.61 1 BER_1844
BER_2927_012000_012120 1.483 0.742 2 1 0.000 0.000 0 0 1.483 0.742 2 1 1 6 8 0 3 0 0.820 0.525 0.000 4.92 4.20 0.00 3 BER_2927
BER_2927_013500_013620 9.670 1.612 6 1 7.610 1.522 5 0 17.280 1.571 11 3 4 20 15 6 2 4 0.940 0.906 0.487 18.79 13.59 2.92 3 BER_2927
BER_2927_014160_014280 13.083 0.934 14 5 1.354 1.354 1 0 14.437 0.962 15 25 0 10 6 4 3 0 0.827 0.712 0.840 8.27 4.27 3.36 6 BER_2927
BER_2927_019980_020100 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_2927
BER_2927_023820_023940 5.370 0.895 6 2 0.000 0.000 0 0 5.370 0.895 6 8 8 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_2927
BER_2927_025080_025200 24.529 1.226 20 5 0.994 0.331 3 3 25.523 1.110 23 15 16 11 11 2 4 1 1.038 0.829 0.430 11.42 9.12 0.86 5 BER_2927
BER_2927_026160_026280 2.080 0.693 3 1 3.750 0.938 4 0 5.830 0.833 7 5 9 3 1 2 1 1 0.630 0.600 0.190 1.89 0.60 0.38 1 BER_2927
BER_2927_026460_026580 7.912 0.791 10 5 3.462 1.154 3 0 11.374 0.875 13 8 11 4 2 2 1 1 0.750 0.655 0.130 3.00 1.31 0.26 2 BER_2927
BER_2927_027180_027300 22.551 1.128 20 5 0.000 0.000 0 0 22.551 1.128 20 25 25 18 11 9 4 4 0.957 0.772 0.574 17.22 8.49 5.17 2 BER_2927
BER_2927_030120_030240 9.063 0.697 13 8 1.529 1.529 1 0 10.592 0.757 14 13 14 8 4 4 1 1 0.967 1.065 0.640 7.74 4.26 2.56 1 BER_2927
BER_2927_037440_037560 2.320 0.773 3 2 0.000 0.000 0 0 2.320 0.773 3 6 6 1 0 1 0 0 0.780 0.000 0.780 0.78 0.00 0.78 0 BER_2927
BER_2927_044340_044460 3.957 0.659 6 4 1.565 1.565 1 0 5.522 0.789 7 7 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_2927
BER_2927_053160_053280 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_2927
BER_2927_054900_055020 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_2927
BER_2927_056400_056520 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_2927
BER_3749_004140_004260 22.797 2.072 11 0 0.000 0.000 0 0 22.797 2.072 11 18 18 8 4 4 0 0 1.091 1.407 0.775 8.73 5.63 3.10 4 BER_3749
BER_3749_004620_004740 1.365 0.682 2 1 0.000 0.000 0 0 1.365 0.682 2 4 4 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_3749
BER_3749_005520_005640 9.900 1.100 9 0 0.000 0.000 0 0 9.900 1.100 9 13 13 1 1 0 1 0 0.600 0.600 0.000 0.60 0.60 0.00 1 BER_3749
