"filename" "age_mo_round" "CV_cum_dur" "CV_mean" "CV_count" "CNV_cum_dur" "CNV_mean" "CNV_count" "CTC_count"
"WAR_1130_003000_003120" 9 41.935 1.10355263157895 38 26.689 2.22408333333333 12 49
"WAR_1130_009120_009240" 9 4.511 1.12775 4 13.472 2.6944 5 9
"WAR_1130_013260_013380" 9 21.801 1.28241176470588 17 57.195 1.845 31 33
"WAR_1130_026400_026520" 9 10.21 0.928181818181818 11 6.931 1.3862 5 8
"WAR_1130_037140_037260" 9 16.105 0.80525 20 32.901 2.0563125 16 16
"WAR_2535_012600_012720" 3 29.457 1.01575862068966 29 2.14 2.14 1 46
"WAR_3090_055920_056040" 3 23.275 0.750806451612903 31 30.84 1.40181818181818 22 47
"WAR_3528_006600_006720" 6 30.675 1.05775862068966 29 31.477 1.3685652173913 23 0
"WAR_3528_007680_007800" 6 8.354 0.928222222222222 9 2.52 1.26 2 1
"WAR_4995_026280_026400" 9 12.999 1.18172727272727 11 6.49 1.08166666666667 6 3
"WAR_5613_017820_017940" 6 20.295 0.882391304347826 23 7.976 1.994 4 24
"WAR_5959_012840_012960" 9 14.879 1.14453846153846 13 6.117 3.0585 2 15
"WAR_5959_021960_022080" 9 8.176 0.545066666666667 15 1.97 1.97 1 3
"WAR_5959_025800_025920" 9 27.262 0.8519375 32 15.913 2.27328571428571 7 13
"WAR_9398_009300_009420" 6 39.081 1.00207692307692 39 33.396 1.75768421052632 19 3
"WAR_9398_033780_033900" 6 65.544 1.07449180327869 61 1.644 1.644 1 0
"WAR_9398_034140_034260" 6 26.607 1.20940909090909 22 45.979 1.58548275862069 29 8
"WAR_9427_033300_033420" 9 18.117 0.549 33 0.38 0.38 1 24
"WAR_9427_056040_056160" 9 18.982 0.999052631578947 19 1.465 1.465 1 24
