"filename" "age_mo_round" "CV_cum_dur" "CV_mean" "CV_count" "CNV_cum_dur" "CNV_mean" "CNV_count" "CTC_count"
"1768_30000_30120" 21 7.64 0.955 8 0 0 0 3
"1768_30300_30420" 21 4.37 0.485555555555556 5 2.07 0.23 4 0
"1768_32580_32700" 21 4.41 0.400909090909091 8 2.14 0.194545454545455 3 8
"1768_33540_33660" 21 15.7 0.560714285714286 21 3.28 0.117142857142857 5 6
"1768_35220_35340" 21 2.76 0.552 5 0 0 0 11
"1844_ 2580_ 2700" 10 0 0 0 0.66 0.66 1 0
"1844_13740_13860" 10 1 1 1 0 0 0 3
"1844_18120_18240" 10 0.85 0.17 1 3.47 0.694 4 1
"1844_20340_20460" 10 2.83 0.566 3 1.71 0.342 2 0
"1844_28320_28440" 10 0 0 0 2.04 0.68 3 1
"1844_31620_31740" 10 3.08 0.77 4 0 0 0 1
"1844_41880_42000" 10 3.09 0.515 5 0.61 0.101666666666667 1 3
"2535_ 4380_ 4500" 3 4.57 0.326428571428571 8 7.8 0.557142857142857 6 7
"2535_ 9720_ 9840" 3 0 0 0 10.85 0.986363636363636 11 17
"2535_10920_11040" 3 0.39 0.13 2 0.22 0.0733333333333333 1 2
"2535_12600_12720" 3 6.64 0.390588235294118 7 15.88 0.934117647058823 10 20
"2535_13320_13440" 3 2.36 0.393333333333333 3 3.87 0.645 3 3
"2535_14940_15060" 3 2.7 0.54 5 0 0 0 0
"2535_45660_45780" 3 1.01 0.336666666666667 3 0 0 0 2
"2745_ 7200_ 7320" 18 0.08 0.0266666666666667 1 0.72 0.24 2 4
"2745_14700_14820" 18 6.55 0.436666666666667 8 3.12 0.208 7 7
"2745_17940_18060" 18 0 0 0 1.67 0.835 2 2
"2745_20160_20280" 18 0 0 0 0.61 0.61 1 0
"2745_26760_26880" 18 0 0 0 4.24 1.06 4 1
"2745_33360_33480" 18 6.95 0.463333333333333 10 3.28 0.218666666666667 5 1
"2745_33720_33840" 18 4 0.8 4 0.72 0.144 1 0
"2745_33960_34080" 18 4.2 0.323076923076923 4 6.36 0.489230769230769 9 2
"2745_34980_35100" 18 2.08 0.297142857142857 3 3.46 0.494285714285714 4 2
"2745_39900_40020" 18 18.63 0.7452 17 4.69 0.1876 8 20
"2927_12000_12120" 13 4.2 0.7 6 0 0 0 5
